ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CodigoDiretoria;NomeDiretoria;NomeEscola;NomeMunicipio;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MÉDIO
2021;12919;35012919;20202;GUARATINGUETA;ROGERIO LACAZ PROF;GUARATINGUETA;;4,34;
2021;12920;35012920;20202;GUARATINGUETA;FRANCISCO AUGUSTO DA COSTA BRAGA PROF;GUARATINGUETA;;;2,59
2021;12944;35012944;20202;GUARATINGUETA;GABRIEL PRESTES;LORENA;;;1,68
2021;12968;35012968;20202;GUARATINGUETA;LUIZ DE CASTRO PINTO PROF;LORENA;;2,31;1,07
2021;13006;35013006;20202;GUARATINGUETA;LEONOR GUIMARAES PROFA;PIQUETE;;2,71;2,08
2021;13018;35013018;20202;GUARATINGUETA;DARWIN FELIX PROF;PIQUETE;;2,89;1,67
2021;13055;35013055;20202;GUARATINGUETA;MARIA IZABEL FONTOURA;CACHOEIRA PAULISTA;;2,19;1,48
2021;13079;35013079;20202;GUARATINGUETA;OLIVEIRA GOMES COMENDADOR;CACHOEIRA PAULISTA;;2,97;
2021;13080;35013080;20202;GUARATINGUETA;JUCA PADRE;CACHOEIRA PAULISTA;;2,31;1,8
2021;13109;35013109;20202;GUARATINGUETA;ARNOLFO AZEVEDO;LORENA;;3,13;1,53
2021;13110;35013110;20202;GUARATINGUETA;JOAQUIM FERREIRA PEDRO PROF;LORENA;;2,46;
2021;13134;35013134;20202;GUARATINGUETA;ALICE VILELA GALVAO PROFA;CANAS;;;1,7
2021;13146;35013146;20202;GUARATINGUETA;PAULO VIRGINIO;CACHOEIRA PAULISTA;;2,82;1,22
2021;13158;35013158;20202;GUARATINGUETA;REGINA POMPEIA PINTO PROFA;CACHOEIRA PAULISTA;;2,67;2,14
2021;13161;35013161;20202;GUARATINGUETA;FRANCISCO MARQUES DE OLIVEIRA JUNIOR PROF;LORENA;;1,57;1,67
2021;13171;35013171;20202;GUARATINGUETA;SEVERINO MOREIRA BARBOSA;CACHOEIRA PAULISTA;;;2,27
2021;13183;35013183;20204;PINDAMONHANGABA;JOAO PEDRO CARDOSO DR;PINDAMONHANGABA;;;3,25
2021;13195;35013195;20204;PINDAMONHANGABA;JOAO MARTINS DE ALMEIDA PROFESSOR;PINDAMONHANGABA;;3,7;
2021;13201;35013201;20204;PINDAMONHANGABA;PEDRO SILVA PROFESSOR;PINDAMONHANGABA;;2,38;0,79
2021;13262;35013262;20204;PINDAMONHANGABA;CLARO CESAR DEPUTADO;PINDAMONHANGABA;;3,24;2,17
2021;13274;35013274;20204;PINDAMONHANGABA;GENESIO CANDIDO PEREIRA DOUTOR;SAO BENTO DO SAPUCAI;;2,63;2,7
2021;13286;35013286;20204;PINDAMONHANGABA;THEODORO CORREA CINTRA PROFESSOR;CAMPOS DO JORDAO;;;2,53
2021;13328;35013328;20205;SAO JOSE DOS CAMPOS;MARIA FERREIRA SONNEWEND PROFESSORA;MONTEIRO LOBATO;;3,24;2,27
2021;13336;35013336;20204;PINDAMONHANGABA;MARIO BULCAO GIUDICE PROFESSOR;PINDAMONHANGABA;;2,28;1,95
2021;13353;35013353;20204;PINDAMONHANGABA;ALZIRA FRANCO PROFESSORA;PINDAMONHANGABA;;3,81;
2021;13365;35013365;20204;PINDAMONHANGABA;RYOITI YASSUDA;PINDAMONHANGABA;;;3,55
2021;13389;35013389;20204;PINDAMONHANGABA;EURIPEDES BRAGA PROFESSOR;PINDAMONHANGABA;;4,62;
2021;13390;35013390;20204;PINDAMONHANGABA;ALFREDO PUJOL DOUTOR;PINDAMONHANGABA;;;2,27
2021;13407;35013407;20204;PINDAMONHANGABA;MARIO TAVARES DOUTOR;PINDAMONHANGABA;;3,31;2,17
2021;13432;35013432;20204;PINDAMONHANGABA;GABRIELLA MONTEIRO DE ATHAYDE MARCONDES PROFESSORA;PINDAMONHANGABA;;1,48;1,28
2021;13444;35013444;20204;PINDAMONHANGABA;JOAO JOSE DE AZEVEDO MONSENHOR;PINDAMONHANGABA;;3,53;1,39
2021;13456;35013456;20204;PINDAMONHANGABA;YOLANDA BUENO DE GODOY PROFESSORA;PINDAMONHANGABA;;3,24;1,97
